t,u,pH
0.0,2,3.354340449708149
0.1,2,3.3575697495025008
0.2,2,3.360796985805503
0.30000000000000004,2,3.36402198115761
0.4,2,3.3672445589468856
0.5,2,3.370464543494509
0.6000000000000001,2,3.373681760139082
0.7000000000000001,2,3.3768960353196187
0.8,2,3.3801071966571192
0.9,2,3.3833150730346193
1.0,2,3.386519494675617
1.1,2,3.3897202932207877
1.2000000000000002,2,3.392917301802888
1.3,2,3.396110355119771
1.4000000000000001,2,3.3992992895054264
1.5,2,3.402483942998971
1.6,2,3.4056641554115195
1.7000000000000002,2,3.408839768390865
1.8,2,3.4120106254839158
1.9000000000000001,2,3.415176572196824
2.0,2,3.4183374560527606
2.1,2,3.4214931266472943
2.2,2,3.4246434357013245
2.3000000000000003,2,3.427788237111548
2.4000000000000004,2,3.430927386998416
2.5,2,3.434060743751574
2.6,2,3.437188168072746
2.7,2,3.4403095230160687
2.8000000000000003,2,3.44342467402586
2.9000000000000004,2,3.4465334889718138
3.0,2,3.4496358381816314
3.1,2,3.452731594471093
3.2,2,3.4558206331715757
3.3000000000000003,2,3.4589028321550437
3.4000000000000004,2,3.46197807185652
3.5,2,3.465046235294074
3.6,2,3.4681072080863413
3.7,2,3.4711608784676202
3.8000000000000003,2,3.4742071373005716
3.9000000000000004,2,3.4772458780865625
4.0,2,3.4802769969736995
4.1000000000000005,2,3.483300392762594
4.2,2,3.4863159669099026
4.3,2,3.489323623529705
4.4,2,3.4923232693927595
4.5,2,3.4953148139236965
4.6000000000000005,2,3.4982981691962114
4.7,2,3.5012732499263026
4.800000000000001,2,3.504239973463632
4.9,2,3.507198259781053
5.0,2,3.5101480314623785
5.1000000000000005,2,3.5130892136884517
5.2,2,3.51602173422158
5.300000000000001,2,3.518945523388398
5.4,2,3.5218605140612307
5.5,2,3.524766641638015
5.6000000000000005,2,3.5276638440208457
5.7,2,3.5305520615932227
5.800000000000001,2,3.5334312371960475
5.9,2,3.53630131610245
6.0,2,3.539162245991499
6.1000000000000005,2,3.54201397692087
6.2,2,3.5448564612985245
6.300000000000001,2,3.547689653853473
6.4,2,3.5505135116056734
6.5,2,3.5533279938351345
6.6000000000000005,2,3.55613306205028
6.7,2,3.5589286799556303
6.800000000000001,2,3.5617148134188636
6.9,2,3.564491430437306
7.0,2,3.567258501103917
7.1000000000000005,2,3.570015997572804
7.2,2,3.5727638940243427
7.300000000000001,2,3.5755021666299287
7.4,2,3.578230793516427
7.5,2,3.580949754730361
7.6000000000000005,2,3.5836590322018824
7.7,2,3.5863586097085713
7.800000000000001,2,3.5890484728391097
7.9,2,3.591728608956863
8.0,2,3.5943990071634153
8.1,2,3.5970596582620953
8.200000000000001,2,3.5997105547215216
8.3,2,3.602351690639215
8.4,2,3.6049830617052967
8.5,2,3.6076046651663156
8.6,2,3.610216499789226
8.700000000000001,2,3.612818565825547
8.8,2,3.6154108649757366
8.9,2,3.6179934003537912
9.0,2,3.62056617645211
9.1,2,3.6231291991066383
9.200000000000001,2,3.625682475462312
9.3,2,3.628226013938825
9.4,2,3.6307598241967347
9.5,2,3.633283917103929
9.600000000000001,2,3.635798304702462
9.700000000000001,2,3.6383030001757817
9.8,2,3.6407980178163575
9.9,2,3.6432833729937246
10.0,2,3.6457590821229506
10.100000000000001,2,3.6482251626335405
10.200000000000001,2,3.6506816329387903
10.3,2,3.653128512405588
10.4,2,3.6555658213246813
10.5,2,3.657993580881414
10.600000000000001,2,3.66041181312693
10.700000000000001,2,3.662820540949864
10.8,2,3.665219788048509
10.9,2,3.667609578903473
