t,u,pH
0.0,8,3.354340449708149
0.1,8,3.3675928663708876
0.2,8,3.3808361016969415
0.30000000000000004,8,3.394058755326948
0.4,8,3.4072496078235304
0.5,8,3.420397706075507
0.6000000000000001,8,3.4334924429425904
0.7000000000000001,8,3.446523629628105
0.8,8,3.4594815595573776
0.9,8,3.472357062863008
1.0,8,3.4851415509156793
1.1,8,3.497827050671895
1.2000000000000002,8,3.5104062289214637
1.3,8,3.5228724067944577
1.4000000000000001,8,3.535219565120174
1.5,8,3.5474423414138765
1.6,8,3.559536019399002
1.7000000000000002,8,3.5714965120546034
1.8,8,3.5833203392141653
1.9000000000000001,8,3.595004600738427
2.0,8,3.6065469462485
2.1,8,3.617945542343676
2.2,8,3.6291990381480996
2.3000000000000003,8,3.640306529938566
2.4000000000000004,8,3.651267525507867
2.5,8,3.6620819088192076
2.6,8,3.6727499054110124
2.7,8,3.6832720489207755
2.8000000000000003,8,3.6936491490134458
2.9000000000000004,8,3.7038822609253006
3.0,8,3.7139726567689353
3.1,8,3.7239217986889157
3.2,8,3.733731313910485
3.3000000000000003,8,3.7434029716849264
3.4000000000000004,8,3.7529386621040084
3.5,8,3.762340376731554
3.6,8,3.771610190981744
3.7,8,3.7807502481604174
3.8000000000000003,8,3.789762745076585
3.9000000000000004,8,3.798649919125892
4.0,8,3.807414036745188
4.1000000000000005,8,3.8160573831370708
4.2,8,3.824582253164827
4.3,8,3.8329909433210623
4.4,8,3.8412857446772555
4.5,8,3.849468936726043
4.6000000000000005,8,3.8575427820331267
4.7,8,3.8655095216210107
4.800000000000001,8,3.873371371012189
4.9,8,3.8811305168648054
5.0,8,3.88878911413909
5.1000000000000005,8,3.8963492837379774
5.2,8,3.903813110570175
5.300000000000001,8,3.9111826419885687
5.4,8,3.918459886561161
5.5,8,3.925646813135793
5.6000000000000005,8,3.9327453501636294
5.7,8,3.939757385249841
5.800000000000001,8,3.9466847649031065
5.9,8,3.9535292944584532
6.0,8,3.9602927381506174
6.1000000000000005,8,3.9669768193175243
6.2,8,3.9735832207156716
6.300000000000001,8,3.980113584931206
6.4,8,3.9865695148722624
6.5,8,3.992952574329761
6.6000000000000005,8,3.9992642885953242
6.7,8,4.005506145126277
6.800000000000001,8,4.011679594248877
6.9,8,4.017786049891979
7.0,8,4.02382689034427
7.1000000000000005,8,4.029803459029087
7.2,8,4.035717065291537
7.300000000000001,8,4.041568985193353
7.4,8,4.047360462311513
7.5,8,4.053092708537142
7.6000000000000005,8,4.058766904871757
7.7,8,4.064384202218277
7.800000000000001,8,4.069945722164622
7.9,8,4.075452557758061
8.0,8,4.080905774268729
8.1,8,4.086306409941023
8.200000000000001,8,4.091655476731813
8.3,8,4.096953961034564
8.4,8,4.102202824388699
8.5,8,4.1074030041736425
8.6,8,4.112555414287141
8.700000000000001,8,4.117660945807564
8.8,8,4.122720467639994
8.9,8,4.127734827146014
9.0,8,4.132704850757161
9.1,8,4.13763134457208
9.200000000000001,8,4.142515094937499
9.3,8,4.147356869013154
9.4,8,4.1521574153208585
9.5,8,4.156917464277944
9.600000000000001,8,4.161637728715321
9.700000000000001,8,4.166318904380434
9.8,8,4.170961670425416
9.9,8,4.175566689880742
10.0,8,4.180134610114714
10.100000000000001,8,4.184666063279105
10.200000000000001,8,4.189161666741297
10.3,8,4.193622023503277
10.4,8,4.198047722607801
10.5,8,4.202439339532112
10.600000000000001,8,4.206797436569524
10.700000000000001,8,4.211122563199238
10.8,8,4.215415256444717
10.9,8,4.219676041220963
11.0,8,4.223905430671021
