t,u,y
0,2.3,3.354340449708149
10,2.3,3.6849884746047694
20,2.3,3.90492506736917
30,2.3,4.053378523164817
40,2.3,4.16199806315418
50,2.3,4.246336163076677
60,2.3,4.314547570444263
70,2.3,4.371335733015081
80,2.3,4.41963421052746
90,2.3,4.461387756689955
100,2.3,4.497948909894844
110,2.3,4.530295102409511
120,2.3,4.559155110895792
130,2.3,4.585086569891791
140,2.3,4.608525558761809
150,2.3,4.629819487236162
160,2.3,4.649249586242108
170,2.3,4.667046703592939
180,2.3,4.683402657213635
190,2.3,4.698478562907229
200,2.3,4.712411053841457
210,2.3,4.725317000624688
220,2.3,4.737297145382725
230,2.3,4.748438936265553
240,2.3,4.758818764481858
250,2.3,4.768503748829186
260,2.3,4.777553173280595
270,2.3,4.786019655555657
280,2.3,4.793950104932974
290,2.3,4.801386513363522
300,2.3,4.808366613565026
310,2.3,4.8149244300999126
320,2.3,4.821090743697773
330,2.3,4.826893484745355
340,2.3,4.832358068558686
350,2.3,4.837507682506052
360,2.3,4.842363533075214
370,2.3,4.846945059433565
380,2.3,4.851270118813105
390,2.3,4.855355148086964
400,2.3,4.859215305133622
410,2.3,4.862864592965961
420,2.3,4.86631596910212
430,2.3,4.869581442248726
440,2.3,4.87267215803515
450,2.3,4.875598475264953
460,2.3,4.878370033925994
470,2.3,4.880995816014435
480,2.3,4.883484200072985
490,2.3,4.88584301021426
500,2.3,4.888079560291529
510,2.3,4.890200693787706
520,2.3,4.892212819916139
530,2.3,4.8941219463612615
540,2.3,4.895933709031359
550,2.3,4.897653399148166
560,2.3,4.899285987957219
570,2.3,4.900836149307917
580,2.3,4.902308280322092
590,2.3,4.903706520343868
600,2.3,4.905034768341066
610,2.3,4.906296698908815
620,2.3,4.907495777009047
630,2.3,4.908635271564674
640,2.3,4.909718268014248
650,2.3,4.910747679921581
660,2.3,4.911726259724743
670,2.3,4.912656608700104
680,2.3,4.913541186209309
690,2.3,4.914382318290247
700,2.3,4.915182205646966
710,2.3,4.915942931088155
720,2.3,4.916666466458991
730,2.3,4.9173546791069125
740,2.3,4.918009337918095
750,2.3,4.9186321189579765
760,2.3,4.9192246107461965
770,2.3,4.919788319193562
780,2.3,4.920324672226214
790,2.3,4.9208350241200085
800,2.3,4.921320659566097
810,2.3,4.921782797486986
820,2.3,4.922222594620659
830,2.3,4.922641148888988
840,2.3,4.923039502565259
850,2.3,4.923418645254521
860,2.3,4.923779516699312
870,2.3,4.9241230094224155
880,2.3,4.924449971217311
890,2.3,4.924761207496267
900,4.0,4.927320507178021
910,4.0,4.955967730144099
920,4.0,4.983430609219035
930,4.0,5.009786150345253
940,4.0,5.035100954549457
950,4.0,5.0594330012010875
960,4.0,5.082833092264757
970,4.0,5.105346032649788
980,4.0,5.127011602735599
990,4.0,5.147865365417803
1000,4.0,5.1679393399844855
1010,4.0,5.187262567718685
1020,4.0,5.205861588592745
1030,4.0,5.223760844258444
1040,4.0,5.240983019380849
1050,4.0,5.257549330954114
1060,4.0,5.273479773386532
1070,4.0,5.288793325712654
1080,4.0,5.303508126180643
1090,4.0,5.317641618597276
1100,4.0,5.331210674133839
1110,4.0,5.344231691759829
1120,4.0,5.356720680044491
1130,4.0,5.368693322723023
1140,4.0,5.380165030144651
1150,4.0,5.391150978488615
1160,4.0,5.401666138439195
1170,4.0,5.411725294843467
1180,4.0,5.421343058728326
1190,4.0,5.430533872921628
1200,4.0,5.439312012401965
1210,4.0,5.447691580390315
1220,4.0,5.4556865010925115
1230,4.0,5.46331050990314
1240,4.0,5.4705771417884375
1250,4.0,5.477499718477676
1260,4.0,5.484091335009316
1270,4.0,5.490364846099997
1280,4.0,5.496332852731335
1290,4.0,5.502007689281657
1300,4.0,5.507401411467444
1310,4.0,5.512525785302409
1320,4.0,5.5173922772308845
1330,4.0,5.5220120455464485
1340,4.0,5.526395933166514
1350,4.0,5.530554461798535
1360,4.0,5.534497827503567
1370,4.0,5.538235897637654
1380,4.0,5.541778209130718
1390,4.0,5.545133968045872
