t,x1,x2,y,u
0.0,2.577319587628866e-05,2.4226804123711348e-05,6.195162578104164,4.9
10.0,2.5739941093560145e-05,2.4260058906439864e-05,6.214849492188616,4.9
20.0,2.570881026506267e-05,2.4291189734937334e-05,6.234072409267733,4.9
30.0,2.5679667735675213e-05,2.432033226432479e-05,6.25282532464854,4.9
40.0,2.5652386514452095e-05,2.434761348554791e-05,6.2711027682087925,4.9
50.0,2.562684772124957e-05,2.437315227875044e-05,6.2888998778741465,4.9
60.0,2.560294006869591e-05,2.439705993130409e-05,6.306212467585733,4.9
70.0,2.558055937724768e-05,2.441944062275232e-05,6.32303708893607,4.9
80.0,2.5559608121218804e-05,2.44403918787812e-05,6.339371085702572,4.9
90.0,2.5539995003804502e-05,2.4460004996195504e-05,6.355212640583639,4.9
100.0,2.552163455924799e-05,2.4478365440752012e-05,6.3705608135417044,4.9
110.0,2.5504446780416532e-05,2.4495553219583467e-05,6.385415571277168,4.9
120.0,2.548835677016379e-05,2.4511643229836216e-05,6.399777807494025,4.9
130.0,2.5473294414959414e-05,2.4526705585040585e-05,6.413649353767309,4.9
140.0,2.545919407936369e-05,2.4540805920636317e-05,6.427032980980267,4.9
150.0,2.5445994320015648e-05,2.455400567998435e-05,6.439932391459548,4.9
160.0,2.543363761788873e-05,2.456636238211127e-05,6.452352202094585,4.9
170.0,2.5422070127646865e-05,2.457792987235314e-05,6.464297918878387,4.9
180.0,2.541124144300905e-05,2.458875855699095e-05,6.4757759034450055,4.9
190.0,2.540110437709993e-05,2.459889562290007e-05,6.486793332301367,4.9
200.0,2.539161475682903e-05,2.4608385243170967e-05,6.4973581495537465,4.9
210.0,2.5382731230403046e-05,2.461726876959696e-05,6.507479014009066,4.9
220.0,2.537441508713192e-05,2.4625584912868085e-05,6.51716524158889,4.9
230.0,2.5366630088743944e-05,2.4633369911256055e-05,6.526426744025593,4.9
240.0,2.5359342311474507e-05,2.4640657688525492e-05,6.535273964819841,4.9
250.0,2.5352519998240506e-05,2.4647480001759493e-05,6.543717813424567,4.9
260.0,2.534613342025629e-05,2.4653866579743716e-05,6.5517695985867,4.9
270.0,2.5340154747488062e-05,2.4659845252511943e-05,6.559440961725791,4.9
280.0,2.5334557927382213e-05,2.4665442072617786e-05,6.566743811161923,4.9
290.0,2.5329318571339265e-05,2.467068142866074e-05,6.5736902579264065,4.9
300.0,2.532441384843844e-05,2.467558615156157e-05,6.580292553801699,4.9
310.0,2.531982238595017e-05,2.468017761404983e-05,6.586563032144438,4.9
320.0,2.531552417620267e-05,2.468447582379733e-05,6.592514051950986,4.9
330.0,2.5311500489396846e-05,2.468849951060316e-05,6.5981579455305495,4.9
340.0,2.530773379198966e-05,2.469226620801034e-05,6.603506970059718,4.9
350.0,2.530420767029035e-05,2.4695792329709648e-05,6.608573263205616,4.9
360.0,2.530090675893637e-05,2.4699093241063628e-05,6.613368802925001,4.9
370.0,2.529781667393763e-05,2.4702183326062367e-05,6.61790537147384,4.9
380.0,2.5294923949997022e-05,2.4705076050002983e-05,6.622194523597766,4.9
390.0,2.529221598183433e-05,2.4707784018165672e-05,6.626247558817798,4.9
400.0,2.5289680969257736e-05,2.4710319030742263e-05,6.630075497679236,4.9
410.0,2.528730786574341e-05,2.471269213425659e-05,6.633689061793014,4.9
420.0,2.528508633029949e-05,2.471491366970051e-05,6.637098657468328,4.9
430.0,2.528300668240432e-05,2.471699331759569e-05,6.640314362713133,4.9
440.0,2.5281059859822784e-05,2.4718940140177215e-05,6.643345917363288,4.9
450.0,2.527923737911691e-05,2.472076262088309e-05,6.646202716091289,4.9
460.0,2.527753129867857e-05,2.4722468701321435e-05,6.648893804041894,4.9
470.0,2.527593418412327e-05,2.472406581587673e-05,6.651427874842116,4.9
480.0,2.527443907589425e-05,2.472556092410575e-05,6.653813270737718,4.9
490.0,2.527303945893561e-05,2.4726960541064395e-05,6.656057984615848,4.9
500.0,2.5271729234302442e-05,2.4728270765697564e-05,6.6581696636834415,4.9
510.0,2.527050269258417e-05,2.4729497307415835e-05,6.660155614583278,4.9
520.0,2.526935448902535e-05,2.4730645510974648e-05,6.662022809742495,4.9
530.0,2.526827962023546e-05,2.4731720379764546e-05,6.663777894763162,4.9
540.0,2.5267273402386177e-05,2.4732726597613825e-05,6.665427196678643,4.9
550.0,2.526633145080127e-05,2.473366854919873e-05,6.66697673291479,4.9
560.0,2.5265449660849967e-05,2.473455033915004e-05,6.668432220809497,4.9
570.0,2.526462419006072e-05,2.4735375809939286e-05,6.669799087558637,4.9
580.0,2.5263851441377342e-05,2.473614855862266e-05,6.671082480470242,4.9
590.0,2.526312804748449e-05,2.473687195251551e-05,6.672287277422033,4.9
600.0,2.526245085613435e-05,2.4737549143865648e-05,6.673418097429553,4.9
610.0,2.5261816916410448e-05,2.473818308358955e-05,6.674479311244335,4.9
620.0,2.526122346586881e-05,2.473877653413119e-05,6.67547505191179,4.9
630.0,2.5260667918500353e-05,2.473933208149965e-05,6.676409225228651,4.9
640.0,2.5260147853462162e-05,2.4739852146537844e-05,6.677285520048926,4.9
650.0,2.525966100452847e-05,2.474033899547153e-05,6.678107418395351,4.9
660.0,2.5259205250215397e-05,2.474079474978461e-05,6.678878205340982,4.9
670.0,2.525877860453639e-05,2.474122139546361e-05,6.679600978631935,4.9
680.0,2.5258379208348155e-05,2.4741620791651848e-05,6.68027865802855,4.9
690.0,2.525800532124927e-05,2.4741994678750728e-05,6.6809139943471685,4.9
700.0,2.525765531399624e-05,2.474234468600376e-05,6.681509578189526,4.9
710.0,2.5257327661403963e-05,2.4742672338596047e-05,6.6820678483508456,4.9
720.0,2.525702093569956e-05,2.474297906430045e-05,6.682591099901036,4.9
730.0,2.5256733800300796e-05,2.474326619969921e-05,6.683081491936583,4.9
740.0,2.5256465003991777e-05,2.4743534996008225e-05,6.683541055003268,4.9
750.0,2.52562133754707e-05,2.47437866245293e-05,6.683971698192057,4.9
760.0,2.5255977818245788e-05,2.474402218175421e-05,6.684375215912343,4.9
770.0,2.525575730585724e-05,2.474424269414277e-05,6.684753294348254,4.9
780.0,2.525555087740435e-05,2.4744449122595653e-05,6.685107517605039,4.9
790.0,2.525535763335835e-05,2.4744642366641652e-05,6.685439373553384,4.9
800.0,2.5255176731642546e-05,2.474482326835746e-05,6.685750259380848,4.9
810.0,2.525500738396297e-05,2.474499261603703e-05,6.686041486859192,4.9
820.0,2.525484885237333e-05,2.4745151147626676e-05,6.686314287338124,4.9
830.0,2.52547004460593e-05,2.4745299553940698e-05,6.686569816475101,4.9
840.0,2.525456151832829e-05,2.4745438481671715e-05,6.6868091587118945,4.9
850.0,2.525443146379137e-05,2.4745568536208632e-05,6.6870333315081725,4.9
860.0,2.5254309715725328e-05,2.474569028427467e-05,6.687243289342447,4.9
870.0,2.525419574360304e-05,2.474580425639696e-05,6.687439927491119,4.9
